id,claim_topic,evidence_text,stance,source,url
1,Can masks reduce corona infections when worn by a large proportion of the population?,"Claim: Can masks reduce corona infections when worn by a large proportion of the population? | Finding: International studies suggest that the number of corona infections decreases when many people wear masks - whether fabric, surgical or FFP2 masks. However, it is not possible to precisely quantify how great the protective effect actually is. It probably depends on the type of masks and the proportion of people who wear them.",supports,Medizin Transparent,https://www.medizin-transparent.at/masken-corona/
2,Can homeopathic preparations with Anamirta cocculus help against dizziness?,"Claim: Can homeopathic preparations with Anamirta cocculus help against dizziness? | Finding: We have found only one study that has investigated this. However, it is so poor that no reliable statement is possible.",uncertain,Medizin Transparent,https://www.medizin-transparent.at/schwindel-homoeopathie-cocculus/
3,Can zeolite alleviate or prevent health problems?,Claim: Can zeolite alleviate or prevent health problems? | Finding: Studies to date cannot provide any evidence that taking zeolite prevents or alleviates complaints. A detoxifying effect is not scientifically plausible.,uncertain,Medizin Transparent,https://www.medizin-transparent.at/zeolith-wirkung/
4,Does paxlovid protect unvaccinated people with risk factors from severe or even fatal covid 19 disease?,"Claim: Does paxlovid protect unvaccinated people with risk factors from severe or even fatal covid 19 disease? | Finding: In a large, well-done study, paxlovid prevented hospitalizations and deaths in high-risk patients. They were unvaccinated and had contracted the delta variant. For vaccinated people, the benefit cannot be reliably estimated. This also applies to people with immunodeficiency.",supports,Medizin Transparent,https://www.medizin-transparent.at/corona-paxlovid/
5,"Does starting school later improve health, learning success, and quality of life in adolescents?","Claim: Does starting school later improve health, learning success, and quality of life in adolescents? | Finding: The question has been investigated in several large studies. Due to methodological deficiencies and contradictory results, no firm conclusions can be drawn. This means that science can currently neither speak for nor against a benefit of a later school start.",uncertain,Medizin Transparent,https://www.medizin-transparent.at/spaeterer-schulbeginn/
6,Does the F.X. Mayr cure have health benefits? Can it prevent diseases or treat them?,"Claim: Does the F.X. Mayr cure have health benefits? Can it prevent diseases or treat them? | Finding: It is neither examined nor proven whether the special fasting method after F.X. Mayr holds, which it promises: Namely assistance with all possible illnesses of allergies, over rheumatism up to sleep disturbances. The advertised detoxification and ""purification"" of the body by the chamfering cure are besides scientifically not plausible.",uncertain,Medizin Transparent,https://www.medizin-transparent.at/fx-mayr/
7,Does the consumption of soy foods or soy isoflavones affect the appearance of acne skin?,"Claim: Does the consumption of soy foods or soy isoflavones affect the appearance of acne skin? | Finding: We could not find any meaningful studies at all on the influence of soy foods on acne. On soy isoflavones, we found two small studies of questionable quality that examined a very specific group of sufferers. Soy isoflavones improved the skin appearance somewhat. However, this result is not reliable.",uncertain,Medizin Transparent,https://www.medizin-transparent.at/soja-akne/
8,Does extract from the Damiana plant (Turnera diffusa) help with erectile dysfunction?,"Claim: Does extract from the Damiana plant (Turnera diffusa) help with erectile dysfunction? | Finding: The extract from the Damiana plant (Turnera diffusa) is advertised as a remedy for erectile dysfunction for men. However, this claimed effect on potency is by no means proven. It has apparently never been tested on humans. This also applies to homeopathic remedies such as the product Neradin.",uncertain,Medizin Transparent,https://www.medizin-transparent.at/damiana-neradin/
9,Is the homeopathic remedy Neradin effective for erectile dysfunction?,"Claim: Is the homeopathic remedy Neradin effective for erectile dysfunction? | Finding: The extract from the Damiana plant (Turnera diffusa) is advertised as a remedy for erectile dysfunction for men. However, this claimed effect on potency is by no means proven. It has apparently never been tested on humans. This also applies to homeopathic remedies such as the product Neradin.",uncertain,Medizin Transparent,https://www.medizin-transparent.at/damiana-neradin/
10,Does regular HPV testing in addition to the recommended Pap smear detect more precancerous lesions than just the Pap smear alone?,"Claim: Does regular HPV testing in addition to the recommended Pap smear detect more precancerous lesions than just the Pap smear alone? | Finding: Regular examination of the cervix by means of PAP smear tests detects precancerous stages of the cervix in most cases in good time. This reduces the risk of developing cervical cancer. An additional HPV test every three to five years can make screening even more reliable. However, the difference should not be too great.",supports,Medizin Transparent,https://www.medizin-transparent.at/hpv-test-gebaermutterhalskrebs/
11,Can monk's pepper reduce PMS symptoms? PMS is the abbreviation for premenstrual syndrome. This refers to complaints that occur in the days before menstruation.,"Claim: Can monk's pepper reduce PMS symptoms? PMS is the abbreviation for premenstrual syndrome. This refers to complaints that occur in the days before menstruation. | Finding: In the studies to date, monk's pepper seems to relieve PMS symptoms better than a placebo. However, this is not well proven, because the studies have significant weaknesses. There is no evidence of an effect on menstrual disorders. Significant studies are lacking.",supports,Medizin Transparent,https://www.medizin-transparent.at/moenchspfeffer-wirkung-wenig-belegt/
12,Can olive leaf extract reduce high blood pressure?,"Claim: Can olive leaf extract reduce high blood pressure? | Finding: Whether olive leaf extract lowers blood pressure has been investigated in five suitable studies to date. They all found no effect or only a slight effect of the extract. The problem with this is that most of the study participants had only slightly elevated blood pressure. They cannot answer how olive leaf extract works in people with significantly elevated blood pressure (hypertension). The studies also had gross flaws, few participants, and ran for a very short time. They cannot provide reliable answers.",uncertain,Medizin Transparent,https://www.medizin-transparent.at/olivenblaetter-blutdruck/
13,Do green-lipped mussel preparations improve the symptoms of osteoarthritis?,"Claim: Do green-lipped mussel preparations improve the symptoms of osteoarthritis? | Finding: The question was examined in four small studies with serious methodological deficiencies, which also arrived at partly contradictory results. No clear conclusions can be drawn from them. The claim that green-lipped mussel helps with osteoarthritis is not scientifically proven.",uncertain,Medizin Transparent,https://www.medizin-transparent.at/gruenlippmuschel-arthrose/
14,Can probiotics lower blood sugar in type 2 diabetes?,"Claim: Can probiotics lower blood sugar in type 2 diabetes? | Finding: The summarized results of studies to date suggest that probiotics in capsule or tablet form could lower blood sugar somewhat. At least if they are taken over a period of two to three months. However, the effect is not well established. Probiotic dairy products and probiotic powder for dissolving do not seem to have any demonstrable effect.",supports,Medizin Transparent,https://www.medizin-transparent.at/diabetes-probiotika/
15,Can the so-called Tupler technique help against rectus diastasis?,Claim: Can the so-called Tupler technique help against rectus diastasis? | Finding: We could not find a single study that examined whether the Tupler technique actually works. And this despite the fact that providers of the method advertise that its effectiveness is scientifically proven.,uncertain,Medizin Transparent,https://www.medizin-transparent.at/tupler-technik-rektusdiastase/
16,Can CBD (cannabidiol) help with migraines or other headaches?,Claim: Can CBD (cannabidiol) help with migraines or other headaches? | Finding: There are no studies that have investigated the effectiveness of CBD against migraine. So claims that CBD can help with or prevent migraine attacks have no scientific basis. The same is true for other types of headache.,uncertain,Medizin Transparent,https://www.medizin-transparent.at/cbd-migraene-kopfschmerzen/
